id,file
Mycobacterium_tuberculosis_H37Rv_e0_r150_2023_05_16_14_30_45_,Mycobacterium_tuberculosis_H37Rv_e0_r150_2023_05_16_14_30_45_read2.fq
Mycobaterium_chelonae_chelonae_CCUG_47445,Mycobaterium_chelonae_chelonae_CCUG_47445.fasta
Mycobaterium_chelonae_chelonae_CCUG_47445_e0_r150_2023_05_16_14_30_45_,Mycobaterium_chelonae_chelonae_CCUG_47445_e0_r150_2023_05_16_14_30_45_read1.fq
Mycobaterium_chelonae_chelonae_CCUG_47445_e0_r150_2023_05_16_14_30_45_,Mycobaterium_chelonae_chelonae_CCUG_47445_e0_r150_2023_05_16_14_30_45_read2.fq
Rhodococcus_erythropolis_R138,Rhodococcus_erythropolis_R138.fasta
Streptococcus_oralis_NCTC_11427,Streptococcus_oralis_NCTC_11427.fasta
Staphylococcus_aureus_NCTC_8325,Staphylococcus_aureus_NCTC_8325.fasta
Streptococcus_mitis_NCTC_12261,Streptococcus_mitis_NCTC_12261.fasta
Fusobacterium_nucleatum_nucleatum_ATCC_25586,Fusobacterium_nucleatum_nucleatum_ATCC_25586.fasta
Neisseria_meningitidis_11_7,Neisseria_meningitidis_11_7.fasta
Prevotella_melaninogenica_ATCC_2584,Prevotella_melaninogenica_ATCC_25845_chromosome_II.fasta
Streptococcus_pneumoniae_Hu17,Streptococcus_pneumoniae_Hu17.fasta
Prevotella_melaninogenica_ATCC_25845,Prevotella_melaninogenica_ATCC_25845_chromosome_I.fasta
Rothia_dentocariosa_ATCC_17931,Rothia_dentocariosa_ATCC_17931.fasta
Lautropia_mirabilis_NCTC12852,Lautropia_mirabilis_NCTC12852.fasta
Streptococcus_parasanguinis_ATCC_15912,Streptococcus_parasanguinis_ATCC_15912.fasta
Streptococcus_sanguinis_NCTC7863,Streptococcus_sanguinis_NCTC7863.fasta
Veillonella_parvula_DSM_2008,Veillonella_parvula_DSM_2008.fasta
Streptococcus_salivarius_NCTC_8618,Streptococcus_salivarius_NCTC_8618.fasta
