id,type,source,date upload,seq technology,r number,read length,error rate,mutation rate,group,complex id,species,subspecies,strain id,lineage,assembly name, assembly_version,assembly_level,genome_representation,contig_count ,scaffold_count,sequence_length,uploaded_by,data_owner,notes
Mycolicibacterium_tokaiense_JCM_6373_e0_r250_2023_06_06_20_36_01_,Synthetic,,07/06/2023 08:02,Illumina,,250,0,0,NTM,N/A,Mycolicibacterium_tokaiense,N/A,JCM_6373,,,,,,,,,,Bird M,
Mycolicibacterium_tokaiense_JCM_6373_e0_r150_2023_06_05_17_48_32_,Synthetic,,07/06/2023 08:02,Illumina,,150,0,0,NTM,N/A,Mycolicibacterium_tokaiense,N/A,JCM_6373,,,,,,,,,,Bird M,
Mycolicibacterium_tokaiense_JCM_6373,Reference,,05/06/2023 16:05,,,,,,NTM,N/A,Mycolicibacterium_tokaiense,N/A,JCM_6373,,,,,,,,,,Malone K,
Mycolicibacterium_thermoresistibile_NCTC10409_e0_r250_2023_06_06_20_28_39_,Synthetic,,07/06/2023 08:02,Illumina,,250,0,0,NTM,N/A,Mycolicibacterium_thermoresistibile,N/A,NCTC10409,,,,,,,,,,Bird M,
Mycolicibacterium_thermoresistibile_NCTC10409_e0_r150_2023_06_06_00_18_46_,Synthetic,,07/06/2023 08:02,Illumina,,150,0,0,NTM,N/A,Mycolicibacterium_thermoresistibile,N/A,NCTC10409,,,,,,,,,,Bird M,
Mycolicibacterium_thermoresistibile_NCTC10409,Reference,,05/06/2023 16:05,,,,,,NTM,N/A,Mycolicibacterium_thermoresistibile,N/A,NCTC10409,,,,,,,,,,Malone K,
Mycolicibacterium_smegmatis_FDAARGOS_679_e0_r250_2023_06_06_20_18_06_,Synthetic,,07/06/2023 08:02,Illumina,,250,0,0,NTM,N/A,Mycolicibacterium_smegmatis,N/A,FDAARGOS_679,,,,,,,,,,Bird M,
Mycolicibacterium_smegmatis_FDAARGOS_679_e0_r150_2023_06_06_12_22_01_,Synthetic,,07/06/2023 08:02,Illumina,,150,0,0,NTM,N/A,Mycolicibacterium_smegmatis,N/A,FDAARGOS_679,,,,,,,,,,Bird M,
Mycolicibacterium_smegmatis_FDAARGOS_679,Reference,,05/06/2023 16:05,,,,,,NTM,N/A,Mycolicibacterium_smegmatis,N/A,FDAARGOS_679,,,,,,,,,,Malone K,
Mycolicibacterium_septicum_PDNC012_e0_r250_2023_06_06_20_08_11_,Synthetic,,07/06/2023 08:02,Illumina,,250,0,0,NTM,N/A,Mycolicibacterium_septicum,N/A,PDNC012,,,,,,,,,,Bird M,
Mycolicibacterium_septicum_PDNC012_e0_r150_2023_06_06_00_35_39_,Synthetic,,07/06/2023 08:02,Illumina,,150,0,0,NTM,N/A,Mycolicibacterium_septicum,N/A,PDNC012,,,,,,,,,,Bird M,
Mycolicibacterium_septicum_PDNC012,Reference,,05/06/2023 16:05,,,,,,NTM,N/A,Mycolicibacterium_septicum,N/A,PDNC012,,,,,,,,,,Malone K,
Mycolicibacterium_senegalense_ATCC_35796_e0_r250_2023_06_06_19_58_56_,Synthetic,,07/06/2023 08:02,Illumina,,250,0,0,NTM,N/A,Mycolicibacterium_senegalense,N/A,ATCC_35796,,,,,,,,,,Bird M,
Mycolicibacterium_senegalense_ATCC_35796_e0_r150_2023_06_06_03_14_38_,Synthetic,,07/06/2023 08:02,Illumina,,150,0,0,NTM,N/A,Mycolicibacterium_senegalense,N/A,ATCC_35796,,,,,,,,,,Bird M,
Mycolicibacterium_senegalense_ATCC_35796,Reference,,05/06/2023 16:05,,,,,,NTM,N/A,Mycolicibacterium_senegalense,N/A,ATCC_35796,,,,,,,,,,Malone K,
Mycolicibacterium_sediminis_JCM_17899_e0_r250_2023_06_06_19_49_33_,Synthetic,,07/06/2023 08:02,Illumina,,250,0,0,NTM,N/A,Mycolicibacterium_sediminis,N/A,JCM_17899,,,,,,,,,,Bird M,
Mycolicibacterium_sediminis_JCM_17899_e0_r150_2023_06_06_05_09_13_,Synthetic,,07/06/2023 08:02,Illumina,,150,0,0,NTM,N/A,Mycolicibacterium_sediminis,N/A,JCM_17899,,,,,,,,,,Bird M,
Mycolicibacterium_sediminis_JCM_17899,Reference,,05/06/2023 16:05,,,,,,NTM,N/A,Mycolicibacterium_sediminis,N/A,JCM_17899,,,,,,,,,,Malone K,
Mycolicibacterium_sarraceniae_JCM_30395_e0_r250_2023_06_06_19_42_11_,Synthetic,,07/06/2023 08:02,Illumina,,250,0,0,NTM,N/A,Mycolicibacterium_sarraceniae,N/A,JCM_30395,,,,,,,,,,Bird M,
Mycolicibacterium_sarraceniae_JCM_30395_e0_r150_2023_06_06_07_23_49_,Synthetic,,07/06/2023 08:02,Illumina,,150,0,0,NTM,N/A,Mycolicibacterium_sarraceniae,N/A,JCM_30395,,,,,,,,,,Bird M,
Mycolicibacterium_sarraceniae_JCM_30395,Reference,,05/06/2023 16:05,,,,,,NTM,N/A,Mycolicibacterium_sarraceniae,N/A,JCM_30395,,,,,,,,,,Malone K,
Mycolicibacterium_rutilum_DSM_45405_e0_r250_2023_06_06_19_33_12_,Synthetic,,07/06/2023 08:02,Illumina,,250,0,0,NTM,N/A,Mycolicibacterium_rutilum,N/A,DSM_45405,,,,,,,,,,Bird M,
Mycolicibacterium_rutilum_DSM_45405_e0_r150_2023_06_06_06_55_53_,Synthetic,,07/06/2023 08:02,Illumina,,150,0,0,NTM,N/A,Mycolicibacterium_rutilum,N/A,DSM_45405,,,,,,,,,,Bird M,
Mycolicibacterium_rutilum_DSM_45405,Reference,,05/06/2023 16:05,,,,,,NTM,N/A,Mycolicibacterium_rutilum,N/A,DSM_45405,,,,,,,,,,Malone K,
Mycolicibacterium_rufum_JCM_16372_e0_r250_2023_06_06_19_24_20_,Synthetic,,07/06/2023 08:02,Illumina,,250,0,0,NTM,N/A,Mycolicibacterium_rufum,N/A,JCM_16372,,,,,,,,,,Bird M,
Mycolicibacterium_rufum_JCM_16372_e0_r150_2023_06_07_00_20_31_,Synthetic,,07/06/2023 08:02,Illumina,,150,0,0,NTM,N/A,Mycolicibacterium_rufum,N/A,JCM_16372,,,,,,,,,,Bird M,
Mycolicibacterium_rufum_JCM_16372,Reference,,05/06/2023 16:05,,,,,,NTM,N/A,Mycolicibacterium_rufum,N/A,JCM_16372,,,,,,,,,,Malone K,
Mycolicibacterium_rhodesiae_DSM_44223_e0_r250_2023_06_06_19_15_12_,Synthetic,,07/06/2023 08:02,Illumina,,250,0,0,NTM,N/A,Mycolicibacterium_rhodesiae,N/A,DSM_44223,,,,,,,,,,Bird M,
Mycolicibacterium_rhodesiae_DSM_44223_e0_r150_2023_06_06_16_29_27_,Synthetic,,07/06/2023 08:02,Illumina,,150,0,0,NTM,N/A,Mycolicibacterium_rhodesiae,N/A,DSM_44223,,,,,,,,,,Bird M,
Mycolicibacterium_rhodesiae_DSM_44223,Reference,,05/06/2023 16:05,,,,,,NTM,N/A,Mycolicibacterium_rhodesiae,N/A,DSM_44223,,,,,,,,,,Malone K,
Mycolicibacterium_pulveris_JCM_6370_e0_r250_2023_06_06_19_06_56_,Synthetic,,07/06/2023 08:02,Illumina,,250,0,0,NTM,N/A,Mycolicibacterium_pulveris,N/A,JCM_6370,,,,,,,,,,Bird M,
Mycolicibacterium_pulveris_JCM_6370_e0_r150_2023_06_05_20_56_37_,Synthetic,,07/06/2023 08:02,Illumina,,150,0,0,NTM,N/A,Mycolicibacterium_pulveris,N/A,JCM_6370,,,,,,,,,,Bird M,
Mycolicibacterium_pulveris_JCM_6370,Reference,,05/06/2023 16:05,,,,,,NTM,N/A,Mycolicibacterium_pulveris,N/A,JCM_6370,,,,,,,,,,Malone K,
Mycolicibacterium_psychrotolerans_JCM_13323_e0_r250_2023_06_06_18_58_26_,Synthetic,,07/06/2023 08:02,Illumina,,250,0,0,NTM,N/A,Mycolicibacterium_psychrotolerans,N/A,JCM_13323,,,,,,,,,,Bird M,
Mycolicibacterium_psychrotolerans_JCM_13323_e0_r150_2023_06_05_20_10_39_,Synthetic,,07/06/2023 08:02,Illumina,,150,0,0,NTM,N/A,Mycolicibacterium_psychrotolerans,N/A,JCM_13323,,,,,,,,,,Bird M,
Mycolicibacterium_psychrotolerans_JCM_13323,Reference,,05/06/2023 16:05,,,,,,NTM,N/A,Mycolicibacterium_psychrotolerans,N/A,JCM_13323,,,,,,,,,,Malone K,
Mycolicibacterium_poriferae_JCM_12603_e0_r250_2023_06_06_18_49_40_,Synthetic,,07/06/2023 08:02,Illumina,,250,0,0,NTM,N/A,Mycolicibacterium_poriferae,N/A,JCM_12603,,,,,,,,,,Bird M,
Mycolicibacterium_poriferae_JCM_12603_e0_r150_2023_06_06_13_33_03_,Synthetic,,07/06/2023 08:02,Illumina,,150,0,0,NTM,N/A,Mycolicibacterium_poriferae,N/A,JCM_12603,,,,,,,,,,Bird M,
Mycolicibacterium_poriferae_JCM_12603,Reference,,05/06/2023 16:05,,,,,,NTM,N/A,Mycolicibacterium_poriferae,N/A,JCM_12603,,,,,,,,,,Malone K,
Mycolicibacterium_phocaicum_JCM_15301_e0_r250_2023_06_06_18_38_12_,Synthetic,,07/06/2023 08:02,Illumina,,250,0,0,NTM,N/A,Mycolicibacterium_phocaicum,N/A,JCM_15301,,,,,,,,,,Bird M,
Mycolicibacterium_phocaicum_JCM_15301_e0_r150_2023_06_05_19_24_20_,Synthetic,,07/06/2023 08:02,Illumina,,150,0,0,NTM,N/A,Mycolicibacterium_phocaicum,N/A,JCM_15301,,,,,,,,,,Bird M,
Mycolicibacterium_phocaicum_JCM_15301,Reference,,05/06/2023 16:05,,,,,,NTM,N/A,Mycolicibacterium_phocaicum,N/A,JCM_15301,,,,,,,,,,Malone K,
Mycolicibacterium_phlei_NCTC8151_e0_r250_2023_06_06_18_26_39_,Synthetic,,07/06/2023 08:02,Illumina,,250,0,0,NTM,N/A,Mycolicibacterium_phlei,N/A,NCTC8151,,,,,,,,,,Bird M,
Mycolicibacterium_phlei_NCTC8151_e0_r150_2023_06_05_19_52_56_,Synthetic,,07/06/2023 08:02,Illumina,,150,0,0,NTM,N/A,Mycolicibacterium_phlei,N/A,NCTC8151,,,,,,,,,,Bird M,
Mycolicibacterium_phlei_NCTC8151,Reference,,05/06/2023 16:05,,,,,,NTM,N/A,Mycolicibacterium_phlei,N/A,NCTC8151,,,,,,,,,,Malone K,
Mycolicibacterium_parafortuitum_JCM_6367_e0_r250_2023_06_06_18_14_02_,Synthetic,,07/06/2023 08:02,Illumina,,250,0,0,NTM,N/A,Mycolicibacterium_parafortuitum,N/A,JCM_6367,,,,,,,,,,Bird M,
Mycolicibacterium_parafortuitum_JCM_6367_e0_r150_2023_06_06_17_40_32_,Synthetic,,07/06/2023 08:02,Illumina,,150,0,0,NTM,N/A,Mycolicibacterium_parafortuitum,N/A,JCM_6367,,,,,,,,,,Bird M,
Mycolicibacterium_parafortuitum_JCM_6367,Reference,,05/06/2023 16:05,,,,,,NTM,N/A,Mycolicibacterium_parafortuitum,N/A,JCM_6367,,,,,,,,,,Malone K,
Mycolicibacterium_pallens_JCM_16370_e0_r250_2023_06_06_18_00_24_,Synthetic,,07/06/2023 08:02,Illumina,,250,0,0,NTM,N/A,Mycolicibacterium_pallens,N/A,JCM_16370,,,,,,,,,,Bird M,
Mycolicibacterium_pallens_JCM_16370_e0_r150_2023_06_06_15_20_59_,Synthetic,,07/06/2023 08:02,Illumina,,150,0,0,NTM,N/A,Mycolicibacterium_pallens,N/A,JCM_16370,,,,,,,,,,Bird M,
Mycolicibacterium_pallens_JCM_16370,Reference,,05/06/2023 16:05,,,,,,NTM,N/A,Mycolicibacterium_pallens,N/A,JCM_16370,,,,,,,,,,Malone K,
Mycolicibacterium_novocastrense_UDSM_BC02_e0_r250_2023_06_06_17_48_36_,Synthetic,,07/06/2023 08:02,Illumina,,250,0,0,NTM,N/A,Mycolicibacterium_novocastrense,N/A,UDSM_BC02,,,,,,,,,,Bird M,
Mycolicibacterium_novocastrense_UDSM_BC02_e0_r150_2023_06_06_03_47_57_,Synthetic,,07/06/2023 08:02,Illumina,,150,0,0,NTM,N/A,Mycolicibacterium_novocastrense,N/A,UDSM_BC02,,,,,,,,,,Bird M,
Mycolicibacterium_novocastrense_UDSM_BC02,Reference,,05/06/2023 16:05,,,,,,NTM,N/A,Mycolicibacterium_novocastrense,N/A,UDSM_BC02,,,,,,,,,,Malone K,
Mycolicibacterium_nivoides_DL90_e0_r250_2023_06_06_17_34_53_,Synthetic,,07/06/2023 08:02,Illumina,,250,0,0,NTM,N/A,Mycolicibacterium_nivoides,N/A,DL90,,,,,,,,,,Bird M,
Mycolicibacterium_nivoides_DL90_e0_r150_2023_06_06_06_12_01_,Synthetic,,07/06/2023 08:02,Illumina,,150,0,0,NTM,N/A,Mycolicibacterium_nivoides,N/A,DL90,,,,,,,,,,Bird M,
Mycolicibacterium_nivoides_DL90,Reference,,05/06/2023 16:05,,,,,,NTM,N/A,Mycolicibacterium_nivoides,N/A,DL90,,,,,,,,,,Malone K,
Mycolicibacterium_neoaurum_MN2019_e0_r250_2023_06_06_17_22_22_,Synthetic,,07/06/2023 08:02,Illumina,,250,0,0,NTM,N/A,Mycolicibacterium_neoaurum,N/A,MN2019,,,,,,,,,,Bird M,
Mycolicibacterium_neoaurum_MN2019_e0_r150_2023_06_06_21_21_02_,Synthetic,,07/06/2023 08:02,Illumina,,150,0,0,NTM,N/A,Mycolicibacterium_neoaurum,N/A,MN2019,,,,,,,,,,Bird M,
Mycolicibacterium_neoaurum_MN2019,Reference,,05/06/2023 16:05,,,,,,NTM,N/A,Mycolicibacterium_neoaurum,N/A,MN2019,,,,,,,,,,Malone K,
Mycolicibacterium_mucogenicum_DSM_44124_e0_r250_2023_06_06_17_13_09_,Synthetic,,07/06/2023 08:02,Illumina,,250,0,0,NTM,N/A,Mycolicibacterium_mucogenicum,N/A,DSM_44124,,,,,,,,,,Bird M,
Mycolicibacterium_mucogenicum_DSM_44124_e0_r150_2023_06_06_18_32_10_,Synthetic,,07/06/2023 08:02,Illumina,,150,0,0,NTM,N/A,Mycolicibacterium_mucogenicum,N/A,DSM_44124,,,,,,,,,,Bird M,
Mycolicibacterium_mucogenicum_DSM_44124,Reference,,05/06/2023 16:05,,,,,,NTM,N/A,Mycolicibacterium_mucogenicum,N/A,DSM_44124,,,,,,,,,,Malone K,
Mycolicibacterium_moriokaense_JCM_6375_e0_r250_2023_06_06_17_03_39_,Synthetic,,07/06/2023 08:02,Illumina,,250,0,0,NTM,N/A,Mycolicibacterium_moriokaense,N/A,JCM_6375,,,,,,,,,,Bird M,
Mycolicibacterium_moriokaense_JCM_6375_e0_r150_2023_06_06_23_35_31_,Synthetic,,07/06/2023 08:02,Illumina,,150,0,0,NTM,N/A,Mycolicibacterium_moriokaense,N/A,JCM_6375,,,,,,,,,,Bird M,
Mycolicibacterium_moriokaense_JCM_6375,Reference,,05/06/2023 16:05,,,,,,NTM,N/A,Mycolicibacterium_moriokaense,N/A,JCM_6375,,,,,,,,,,Malone K,
Mycolicibacterium_monacense_JCM_15658_e0_r250_2023_06_06_16_54_37_,Synthetic,,07/06/2023 08:02,Illumina,,250,0,0,NTM,N/A,Mycolicibacterium_monacense,N/A,JCM_15658,,,,,,,,,,Bird M,
Mycolicibacterium_monacense_JCM_15658_e0_r150_2023_06_05_20_31_30_,Synthetic,,07/06/2023 08:02,Illumina,,150,0,0,NTM,N/A,Mycolicibacterium_monacense,N/A,JCM_15658,,,,,,,,,,Bird M,
Mycolicibacterium_monacense_JCM_15658,Reference,,05/06/2023 16:05,,,,,,NTM,N/A,Mycolicibacterium_monacense,N/A,JCM_15658,,,,,,,,,,Malone K,
Mycolicibacterium_mengxianglii_Z-34_e0_r250_2023_06_06_16_45_37_,Synthetic,,07/06/2023 08:02,Illumina,,250,0,0,NTM,N/A,Mycolicibacterium_mengxianglii,N/A,Z-34,,,,,,,,,,Bird M,
Mycolicibacterium_mengxianglii_Z-34_e0_r150_2023_06_05_23_57_44_,Synthetic,,07/06/2023 08:02,Illumina,,150,0,0,NTM,N/A,Mycolicibacterium_mengxianglii,N/A,Z-34,,,,,,,,,,Bird M,
Mycolicibacterium_mengxianglii_Z-34,Reference,,05/06/2023 16:05,,,,,,NTM,N/A,Mycolicibacterium_mengxianglii,N/A,Z-34,,,,,,,,,,Malone K,
Mycolicibacterium_mageritense_JCM_12375_e0_r250_2023_06_06_16_33_43_,Synthetic,,07/06/2023 08:02,Illumina,,250,0,0,NTM,N/A,Mycolicibacterium_mageritense,N/A,JCM_12375,,,,,,,,,,Bird M,
Mycolicibacterium_mageritense_JCM_12375_e0_r150_2023_06_05_15_01_21_,Synthetic,,07/06/2023 08:02,Illumina,,150,0,0,NTM,N/A,Mycolicibacterium_mageritense,N/A,JCM_12375,,,,,,,,,,Bird M,
Mycolicibacterium_mageritense_JCM_12375,Reference,,05/06/2023 16:05,,,,,,NTM,N/A,Mycolicibacterium_mageritense,N/A,JCM_12375,,,,,,,,,,Malone K,
Mycolicibacterium_madagascariense_JCM_13574_e0_r250_2023_06_06_16_24_58_,Synthetic,,07/06/2023 08:02,Illumina,,250,0,0,NTM,N/A,Mycolicibacterium_madagascariense,N/A,JCM_13574,,,,,,,,,,Bird M,
Mycolicibacterium_madagascariense_JCM_13574_e0_r150_2023_06_06_23_57_35_,Synthetic,,07/06/2023 08:02,Illumina,,150,0,0,NTM,N/A,Mycolicibacterium_madagascariense,N/A,JCM_13574,,,,,,,,,,Bird M,
Mycolicibacterium_madagascariense_JCM_13574,Reference,,05/06/2023 16:05,,,,,,NTM,N/A,Mycolicibacterium_madagascariense,N/A,JCM_13574,,,,,,,,,,Malone K,
Mycolicibacterium_litorale_JCM_17423_e0_r250_2023_06_06_16_16_42_,Synthetic,,07/06/2023 08:02,Illumina,,250,0,0,NTM,N/A,Mycolicibacterium_litorale,N/A,JCM_17423,,,,,,,,,,Bird M,
Mycolicibacterium_litorale_JCM_17423_e0_r150_2023_06_06_18_12_45_,Synthetic,,07/06/2023 08:02,Illumina,,150,0,0,NTM,N/A,Mycolicibacterium_litorale,N/A,JCM_17423,,,,,,,,,,Bird M,
Mycolicibacterium_litorale_JCM_17423,Reference,,05/06/2023 16:05,,,,,,NTM,N/A,Mycolicibacterium_litorale,N/A,JCM_17423,,,,,,,,,,Malone K,
Mycolicibacterium_insubricum_JCM_16366_e0_r250_2023_06_06_16_09_48_,Synthetic,,07/06/2023 08:02,Illumina,,250,0,0,NTM,N/A,Mycolicibacterium_insubricum,N/A,JCM_16366,,,,,,,,,,Bird M,
Mycolicibacterium_insubricum_JCM_16366_e0_r150_2023_06_05_21_36_22_,Synthetic,,07/06/2023 08:02,Illumina,,150,0,0,NTM,N/A,Mycolicibacterium_insubricum,N/A,JCM_16366,,,,,,,,,,Bird M,
Mycolicibacterium_insubricum_JCM_16366,Reference,,05/06/2023 16:05,,,,,,NTM,N/A,Mycolicibacterium_insubricum,N/A,JCM_16366,,,,,,,,,,Malone K,
Mycolicibacterium_holsaticum_DSM_44478_e0_r250_2023_06_06_16_01_17_,Synthetic,,07/06/2023 08:02,Illumina,,250,0,0,NTM,N/A,Mycolicibacterium_holsaticum,N/A,DSM_44478,,,,,,,,,,Bird M,
Mycolicibacterium_holsaticum_DSM_44478_e0_r150_2023_06_05_21_51_43_,Synthetic,,07/06/2023 08:02,Illumina,,150,0,0,NTM,N/A,Mycolicibacterium_holsaticum,N/A,DSM_44478,,,,,,,,,,Bird M,
Mycolicibacterium_holsaticum_DSM_44478,Reference,,05/06/2023 16:05,,,,,,NTM,N/A,Mycolicibacterium_holsaticum,N/A,DSM_44478,,,,,,,,,,Malone K,
Mycolicibacterium_helvum_JCM_30396_e0_r250_2023_06_06_15_51_35_,Synthetic,,07/06/2023 08:02,Illumina,,250,0,0,NTM,N/A,Mycolicibacterium_helvum,N/A,JCM_30396,,,,,,,,,,Bird M,
Mycolicibacterium_helvum_JCM_30396_e0_r150_2023_06_05_15_51_13_,Synthetic,,07/06/2023 08:02,Illumina,,150,0,0,NTM,N/A,Mycolicibacterium_helvum,N/A,JCM_30396,,,,,,,,,,Bird M,
Mycolicibacterium_helvum_JCM_30396,Reference,,05/06/2023 16:05,,,,,,NTM,N/A,Mycolicibacterium_helvum,N/A,JCM_30396,,,,,,,,,,Malone K,
Mycolicibacterium_hassiacum_DSM_44199_e0_r250_2023_06_06_15_43_54_,Synthetic,,07/06/2023 08:02,Illumina,,250,0,0,NTM,N/A,Mycolicibacterium_hassiacum,N/A,DSM_44199,,,,,,,,,,Bird M,
Mycolicibacterium_hassiacum_DSM_44199_e0_r150_2023_06_06_01_36_09_,Synthetic,,07/06/2023 08:02,Illumina,,150,0,0,NTM,N/A,Mycolicibacterium_hassiacum,N/A,DSM_44199,,,,,,,,,,Bird M,
Mycolicibacterium_hassiacum_DSM_44199,Reference,,05/06/2023 16:05,,,,,,NTM,N/A,Mycolicibacterium_hassiacum,N/A,DSM_44199,,,,,,,,,,Malone K,
Mycolicibacterium_goodii_ATCC_700504_e0_r250_2023_06_06_15_33_54_,Synthetic,,07/06/2023 08:02,Illumina,,250,0,0,NTM,N/A,Mycolicibacterium_goodii,N/A,ATCC_700504,,,,,,,,,,Bird M,
Mycolicibacterium_goodii_ATCC_700504_e0_r150_2023_06_05_13_33_52_,Synthetic,,07/06/2023 08:02,Illumina,,150,0,0,NTM,N/A,Mycolicibacterium_goodii,N/A,ATCC_700504,,,,,,,,,,Bird M,
Mycolicibacterium_goodii_ATCC_700504,Reference,,05/06/2023 16:05,,,,,,NTM,N/A,Mycolicibacterium_goodii,N/A,ATCC_700504,,,,,,,,,,Malone K,
Mycolicibacterium_gilvum_Spyr1_e0_r250_2023_06_06_15_25_21_,Synthetic,,07/06/2023 08:02,Illumina,,250,0,0,NTM,N/A,Mycolicibacterium_gilvum,N/A,Spyr1,,,,,,,,,,Bird M,
Mycolicibacterium_gilvum_Spyr1_e0_r150_2023_06_06_16_02_25_,Synthetic,,07/06/2023 08:02,Illumina,,150,0,0,NTM,N/A,Mycolicibacterium_gilvum,N/A,Spyr1,,,,,,,,,,Bird M,
Mycolicibacterium_gilvum_Spyr1,Reference,,05/06/2023 16:05,,,,,,NTM,N/A,Mycolicibacterium_gilvum,N/A,Spyr1,,,,,,,,,,Malone K,
Mycolicibacterium_gadium_JCM_12688_e0_r250_2023_06_06_15_16_14_,Synthetic,,07/06/2023 08:02,Illumina,,250,0,0,NTM,N/A,Mycolicibacterium_gadium,N/A,JCM_12688,,,,,,,,,,Bird M,
Mycolicibacterium_gadium_JCM_12688_e0_r150_2023_06_06_22_55_13_,Synthetic,,07/06/2023 08:02,Illumina,,150,0,0,NTM,N/A,Mycolicibacterium_gadium,N/A,JCM_12688,,,,,,,,,,Bird M,
Mycolicibacterium_gadium_JCM_12688,Reference,,05/06/2023 16:05,,,,,,NTM,N/A,Mycolicibacterium_gadium,N/A,JCM_12688,,,,,,,,,,Malone K,
Mycolicibacterium_fluoranthenivorans_2A_e0_r250_2023_06_06_15_05_33_,Synthetic,,07/06/2023 08:02,Illumina,,250,0,0,NTM,N/A,Mycolicibacterium_fluoranthenivorans,N/A,2A,,,,,,,,,,Bird M,
Mycolicibacterium_fluoranthenivorans_2A_e0_r150_2023_06_06_13_08_07_,Synthetic,,07/06/2023 08:02,Illumina,,150,0,0,NTM,N/A,Mycolicibacterium_fluoranthenivorans,N/A,2A,,,,,,,,,,Bird M,
Mycolicibacterium_fluoranthenivorans_2A,Reference,,05/06/2023 16:05,,,,,,NTM,N/A,Mycolicibacterium_fluoranthenivorans,N/A,2A,,,,,,,,,,Malone K,
Mycolicibacterium_flavescens_NCTC10271_e0_r250_2023_06_06_14_57_29_,Synthetic,,07/06/2023 08:02,Illumina,,250,0,0,NTM,N/A,Mycolicibacterium_flavescens,N/A,NCTC10271,,,,,,,,,,Bird M,
